policy: e_greedy
step size: 0.2
epochs	p1 all win rate	p1 win rate	p1 parameter	p2 all win rate	p2 win rate	p2 parameter
1000	0.357	0.357	0.724286	0.269	0.269	0.724286
2000	0.377	0.397	0.635	0.2715	0.274	0.635
3000	0.382333	0.393	0.565556	0.277667	0.29	0.565556
4000	0.39	0.413	0.51	0.2765	0.273	0.51
5000	0.396	0.42	0.464545	0.2756	0.272	0.464545
6000	0.400333	0.422	0.426667	0.275167	0.273	0.426667
7000	0.407571	0.451	0.394615	0.271571	0.25	0.394615
8000	0.408875	0.418	0.367143	0.27525	0.301	0.367143
9000	0.411333	0.431	0.343333	0.272	0.246	0.343333
10000	0.4097	0.395	0.3225	0.2735	0.287	0.3225
11000	0.407818	0.389	0.304118	0.273636	0.275	0.304118
12000	0.409583	0.429	0.287778	0.270917	0.241	0.287778
13000	0.412	0.441	0.273158	0.270462	0.265	0.273158
14000	0.413643	0.435	0.26	0.268071	0.237	0.26
15000	0.4132	0.407	0.248095	0.264333	0.212	0.248095
16000	0.410313	0.367	0.237273	0.260313	0.2	0.237273
17000	0.404529	0.312	0.227391	0.258118	0.223	0.227391
18000	0.398	0.287	0.218333	0.2535	0.175	0.218333
19000	0.393105	0.305	0.21	0.250263	0.192	0.21
20000	0.38965	0.324	0.202308	0.24755	0.196	0.202308
21000	0.38481	0.288	0.195185	0.244286	0.179	0.195185
22000	0.382455	0.333	0.188571	0.240318	0.157	0.188571
23000	0.377522	0.269	0.182414	0.237913	0.185	0.182414
24000	0.373667	0.285	0.176667	0.234583	0.158	0.176667
25000	0.36888	0.254	0.17129	0.23188	0.167	0.17129
26000	0.363654	0.233	0.16625	0.228885	0.154	0.16625
27000	0.357852	0.207	0.161515	0.225259	0.131	0.161515
28000	0.35275	0.215	0.157059	0.221893	0.131	0.157059
29000	0.348586	0.232	0.152857	0.218966	0.137	0.152857
30000	0.344633	0.23	0.148889	0.215433	0.113	0.148889
31000	0.340677	0.222	0.145135	0.212968	0.139	0.145135
32000	0.338125	0.259	0.141579	0.211344	0.161	0.141579
33000	0.334788	0.228	0.138205	0.209424	0.148	0.138205
34000	0.331647	0.228	0.135	0.207853	0.156	0.135
35000	0.328514	0.222	0.131951	0.205314	0.119	0.131951
36000	0.328083	0.313	0.129048	0.203639	0.145	0.129048
37000	0.324919	0.211	0.126279	0.203162	0.186	0.126279
38000	0.322079	0.217	0.123636	0.200947	0.119	0.123636
39000	0.318923	0.199	0.121111	0.198462	0.104	0.121111
40000	0.315425	0.179	0.118696	0.196475	0.119	0.118696
41000	0.312073	0.178	0.116383	0.194122	0.1	0.116383
42000	0.309524	0.205	0.114167	0.192405	0.122	0.114167
43000	0.307256	0.212	0.112041	0.191349	0.147	0.112041
44000	0.306023	0.253	0.11	0.190932	0.173	0.11
45000	0.303	0.17	0.108039	0.188711	0.091	0.108039
46000	0.30013	0.171	0.106154	0.187239	0.121	0.106154
